date,forex_USDMYR=X,sp500,oil_price,inflation,EPU,forex_daily_returns
2022-04-01,4.203000068664551,-1.0071820388164898,0.34102225843584133,0.0,0.0,0.011902491251558622
2022-04-04,4.208000183105469,4.039490552869429,0.8090938687879357,0.0,0.0,0.11896536662456825
2022-04-05,4.215000152587891,-1.2780787281426842,-1.2551720801807331,0.0,0.0,0.16634907741985838
2022-04-06,4.209000110626221,-5.619846782061888,-0.9716916613271898,0.0,0.0,-0.14234974482708607
2022-04-07,4.2129998207092285,-0.20784014409193086,0.4253385628492534,0.0,0.0,0.09502755946502184
2022-04-08,4.215799808502197,2.3221945072172234,-0.2651026482054286,0.0,0.0,0.06646066727098443
2022-04-11,4.218999862670898,-4.040302396084828,-1.687729010355421,0.0,0.0,0.0759062174215952
2022-04-12,4.228000164031982,6.692117400917996,-0.3417447717741773,0.0,0.0,0.21332784200154276
2022-04-13,4.230500221252441,3.6282321881126567,1.1174577597236057,0.0,0.0,0.059130963185083374
2022-04-14,4.229000091552734,2.589925130208326,-1.214413784439794,0.0,0.0,-0.03545986576648508
2022-04-15,4.230000019073486,0.0,0.0,0.0,0.0,0.0236445376946115
2022-04-18,4.232999801635742,1.1781226481383023,-0.02048682840329885,0.0,0.0,0.07091684512363639
2022-04-19,4.251999855041504,-5.221330351798925,1.6057604355527166,0.0,0.0,0.4488555231781488
2022-04-20,4.252999782562256,0.18525979517276525,-0.06184750715809706,0.0,0.0,0.02351664051838398
2022-04-21,4.2789998054504395,1.012166341145826,-1.4752948498371943,0.0,0.0,0.6113337460017298
2022-04-22,4.28849983215332,-1.6571935692562545,-2.7740054250753654,0.0,0.0,0.2220151235057255
2022-04-25,4.322500228881836,-3.4584097088773413,0.5697936985382235,0.0,0.0,0.7928272836481343
2022-04-26,4.355000019073486,3.2068155097986217,-2.8146308431003852,0.0,0.0,0.7518748055695967
2022-04-27,4.322500228881836,0.314650643487302,0.20980468517017847,0.0,0.0,-0.7462638358050944
2022-04-28,4.357500076293945,3.273871865503697,2.474690007293945,0.0,0.0,0.8097130262307406
2022-04-29,4.361499786376953,-0.6359132166514847,-3.6284507106413955,0.0,0.0,0.09178909955198655
2022-05-02,4.35099983215332,0.45849242176463356,0.5675242812353654,0.0,0.0,-0.24074182592944693
2022-05-03,4.3520002365112305,-2.6243173479971738,0.48371263814863674,0.0,0.0,0.022992516582442946
2022-05-04,4.3520002365112305,5.27291641771741,2.986242108440229,0.0,0.0,0.0
2022-05-05,4.3520002365112305,0.4174052386858973,-3.5649708609806985,0.0,0.0,0.0
