date,forex
,USDMYR=X
2021-09-17,4.1554999351501465
2021-09-20,4.16949987411499
2021-09-21,4.190000057220459
2021-09-22,4.184000015258789
2021-09-23,4.190999984741211
2021-09-24,4.179999828338623
2021-09-27,4.185999870300293
2021-09-28,4.1875
2021-09-29,4.179999828338623
2021-09-30,4.182300090789795
2021-10-01,4.184000015258789
2021-10-04,4.177000045776367
2021-10-05,4.171999931335449
2021-10-06,4.177499771118164
2021-10-07,4.183000087738037
2021-10-08,4.181000232696533
2021-10-11,4.178500175476074
2021-10-12,4.167500019073486
2021-10-13,4.163000106811523
2021-10-14,4.15749979019165
2021-10-15,4.152500152587891
2021-10-18,4.1554999351501465
2021-10-19,4.16949987411499
2021-10-20,4.16949987411499
2021-10-21,4.1554999351501465
2021-10-22,4.156000137329102
